lon,lat
-58.460696,-34.687591
-58.458346,-34.687591
-58.455997,-34.687591
-58.453647,-34.687591
-58.451297,-34.687591
-58.448947,-34.687591
-58.446596,-34.687591
-58.444246,-34.687591
-58.441895,-34.687591
-58.439544,-34.687591
-58.437193,-34.687591
-58.434842,-34.687591
-58.432491,-34.687591
-58.430140,-34.687591
-58.427788,-34.687591
-58.425436,-34.687591
-58.423084,-34.687591
-58.420732,-34.687591
-58.418380,-34.687591
-58.416028,-34.687591
-58.413675,-34.687591
-58.411322,-34.687591
-58.408970,-34.687591
-58.406617,-34.687591
-58.404263,-34.687591
-58.401910,-34.687591
-58.399557,-34.687591
-58.397203,-34.687591
-58.394849,-34.687591
-58.392495,-34.687591
-58.390141,-34.687591
-58.387787,-34.687591
-58.385433,-34.687591
-58.383078,-34.687591
-58.380723,-34.687591
-58.378368,-34.687591
-58.376013,-34.687591
-58.373658,-34.687591
-58.371303,-34.687591
-58.368947,-34.687591
-58.366592,-34.687591
-58.364236,-34.687591
-58.361880,-34.687591
-58.359524,-34.687591
-58.357167,-34.687591
-58.354811,-34.687591
-58.352454,-34.687591
-58.538143,-34.683099
-58.535799,-34.683099
-58.533454,-34.683099
-58.531109,-34.683099
-58.528765,-34.683099
-58.526420,-34.683099
-58.524074,-34.683099
-58.521729,-34.683099
-58.519384,-34.683099
-58.517038,-34.683099
-58.514692,-34.683099
-58.512346,-34.683099
-58.510000,-34.683099
-58.507654,-34.683099
-58.505308,-34.683099
-58.502961,-34.683099
-58.500614,-34.683099
-58.498267,-34.683099
-58.495920,-34.683099
-58.493573,-34.683099
-58.491226,-34.683099
-58.488878,-34.683099
-58.486531,-34.683099
-58.484183,-34.683099
-58.481835,-34.683099
-58.479487,-34.683099
-58.477138,-34.683099
-58.474790,-34.683099
-58.472441,-34.683099
-58.470093,-34.683099
-58.467744,-34.683099
-58.465395,-34.683099
-58.463045,-34.683099
-58.460696,-34.683099
-58.458346,-34.683099
-58.455997,-34.683099
-58.453647,-34.683099
-58.451297,-34.683099
-58.448947,-34.683099
-58.446596,-34.683099
-58.444246,-34.683099
-58.441895,-34.683099
-58.439544,-34.683099
-58.437193,-34.683099
-58.434842,-34.683099
-58.432491,-34.683099
-58.430140,-34.683099
-58.427788,-34.683099
-58.425436,-34.683099
-58.423084,-34.683099
-58.420732,-34.683099
-58.418380,-34.683099
