search_longitude,search_latitude,arrive,leave,search_method,timestamp,geometry,x,y,new_x,new_y,arrive_date,dayOfWeek
-58.53482839999999,-34.8150044,2020-10-27 13:15:12.234000+00:00,2020-10-27 14:15:12.234000+00:00,google,2020-10-27T16:06:22.020GMT-03:00,POINT (-58.53482839999999 -34.8150044),-58.53482839999999,-34.8150044,0.0033146000000101594,-0.10944740000000053,2020-10-27,1
-58.45897246152162,-34.61829565260808,2021-02-08 05:33:27.798000+00:00,2021-02-08 06:33:27.798000+00:00,searchInThisArea,2021-02-08T02:36:19.403-03:00,POINT (-58.45897246152162 -34.61829565260808),-58.45897246152162,-34.61829565260808,0.07917053847837963,0.08726134739191593,2021-02-08,0
-58.708628844599005,-34.542547929351635,2021-01-12 06:15:26.188000+00:00,2021-01-12 08:30:00+00:00,update_time_home,2021-01-12T09:04:26.198GMT-03:00,POINT (-58.708628844599 -34.54254792935163),-58.708628844599005,-34.542547929351635,-0.17048584459900695,0.16300907064836423,2021-01-12,1
-58.261489123105996,-34.72002263660705,2021-02-01 18:07:48.622000+00:00,2021-02-01 19:07:48.622000+00:00,searchInThisArea,2021-02-01T15:08:06.062-03:00,POINT (-58.261489123106 -34.72002263660705),-58.261489123105996,-34.72002263660705,0.27665387689400234,-0.014465636607049248,2021-02-01,0
-58.39020670000001,-34.604424,2020-12-29 13:45:34.062000+00:00,2020-12-29 14:45:34.062000+00:00,google,2020-12-29T16:38:48.471GMT-03:00,POINT (-58.39020670000001 -34.604424),-58.39020670000001,-34.604424,0.1479362999999907,0.10113299999999725,2020-12-29,1
-57.974395863711834,-34.926935098200815,2021-02-14 18:00:00+00:00,2021-02-14 19:00:00+00:00,updateTimeHome,2021-02-06T13:45:52.065-03:00,POINT (-57.97439586371183 -34.92693509820081),-57.974395863711834,-34.926935098200815,0.5637471362881641,-0.221378098200816,2021-02-14,6
-58.380875587463386,-34.60636496477388,2021-02-07 22:33:59.885000+00:00,2021-02-07 23:33:59.885000+00:00,searchInThisArea,2021-02-07T19:34:09.484-03:00,POINT (-58.38087558746339 -34.60636496477388),-58.380875587463386,-34.60636496477388,0.15726741253661203,0.09919203522611753,2021-02-07,6
-58.36968038231134,-34.61421197809557,2021-02-22 10:15:00+00:00,2021-02-22 11:15:00+00:00,updateTimeHome,2021-02-22T06:11:02.619-03:00,POINT (-58.36968038231134 -34.61421197809557),-58.36968038231134,-34.61421197809557,0.168462617688661,0.09134502190443072,2021-02-22,0
-58.446923,-34.583735,2021-01-21 10:30:17.651000+00:00,2021-01-21 11:30:17.651000+00:00,google,2021-01-21T13:23:25.671GMT-03:00,POINT (-58.446923 -34.583735),-58.446923,-34.583735,0.09121999999999986,0.12182200000000165,2021-01-21,3
-58.4274896979332,-34.58057141549163,2020-10-19 07:00:16.512000+00:00,2020-10-19 08:00:16.512000+00:00,this_area,2020-10-19T14:10:38.393GMT-03:00,POINT (-58.4274896979332 -34.58057141549163),-58.4274896979332,-34.58057141549163,0.11065330206680102,0.12498558450836583,2020-10-19,0
-58.393726721405976,-34.588480761354504,2020-10-19 07:00:16.512000+00:00,2020-10-19 08:00:16.512000+00:00,this_area,2020-10-19T14:10:57.023GMT-03:00,POINT (-58.39372672140598 -34.5884807613545),-58.393726721405976,-34.588480761354504,0.14441627859402217,0.11707623864549532,2020-10-19,0
-58.397037029882426,-34.59346550860654,2020-12-15 04:15:50.852000+00:00,2020-12-22 12:30:36+00:00,update_time_home,2020-12-15T07:01:50.861GMT-03:00,POINT (-58.39703702988243 -34.59346550860654),-58.397037029882426,-34.59346550860654,0.14110597011757164,0.11209149139345698,2020-12-15,1
-58.376922346651554,-34.596579235286576,2020-11-06 16:15:23.616000+00:00,2020-11-06 17:15:23.616000+00:00,this_area,2020-11-06T19:13:33.383GMT-03:00,POINT (-58.37692234665155 -34.59657923528658),-58.376922346651554,-34.596579235286576,0.16122065334844393,0.10897776471342269,2020-11-06,4
-67.4770637601614,-45.861130379644976,2020-09-14 08:15:00.311000+00:00,2020-09-14 09:15:00.311000+00:00,this_area,2020-09-14T11:11:25.930GMT-03:00,POINT (-67.4770637601614 -45.86113037964498),-67.4770637601614,-45.861130379644976,-8.938920760161402,-11.155573379644977,2020-09-14,0
-58.40146221220493,-34.5961056362296,2021-02-12 16:40:26.709000+00:00,2021-02-12 17:40:26.709000+00:00,searchInThisArea,2021-02-12T13:41:02.726-03:00,POINT (-58.40146221220493 -34.5961056362296),-58.40146221220493,-34.5961056362296,0.13668078779506487,0.10945136377039688,2021-02-12,4
-58.39424170553684,-34.60089476847983,2021-02-21 09:02:36.806000+00:00,2021-02-21 10:02:36.806000+00:00,searchInThisArea,2021-02-21T06:04:01.392-03:00,POINT (-58.39424170553684 -34.60089476847983),-58.39424170553684,-34.60089476847983,0.1439012944631557,0.10466223152016596,2021-02-21,6
-58.38865868747235,-34.59607141334931,2021-01-26 22:52:02.133000+00:00,2021-01-26 23:52:02.133000+00:00,searchInThisArea,2021-01-26T19:52:34.242-03:00,POINT (-58.38865868747235 -34.59607141334931),-58.38865868747235,-34.59607141334931,0.1494843125276475,0.10948558665069186,2021-01-26,1
-58.4652263,-34.5553814,2021-01-30 18:06:40.913000+00:00,2021-01-30 19:06:40.913000+00:00,google,2021-01-30T15:07:06.838-03:00,POINT (-58.4652263 -34.5553814),-58.4652263,-34.5553814,0.07291670000000039,0.1501755999999972,2021-01-30,5
-60.15578985214233,-33.471131856407084,2021-02-13 00:28:48.106000+00:00,2021-02-15 01:28:48.106000+00:00,searchInThisArea,2021-02-12T21:29:05.900-03:00,POINT (-60.15578985214233 -33.47113185640708),-60.15578985214233,-33.471131856407084,-1.6176468521423288,1.2344251435929152,2021-02-13,5
-58.53482839999999,-34.8150044,2021-01-17 03:00:00+00:00,2021-01-17 03:15:00+00:00,update_time_home,2021-01-15T11:32:35.458GMT-03:00,POINT (-58.53482839999999 -34.8150044),-58.53482839999999,-34.8150044,0.0033146000000101594,-0.10944740000000053,2021-01-17,6
-58.47577515989541,-34.62060559897632,2020-12-31 11:30:54.105000+00:00,2020-12-31 12:30:54.105000+00:00,this_area,2020-12-31T14:33:36.204GMT-03:00,POINT (-58.47577515989541 -34.62060559897632),-58.47577515989541,-34.62060559897632,0.06236784010458507,0.08495140102368026,2020-12-31,3
-58.4384539,-34.5943669,2020-11-19 16:30:17+00:00,2020-11-19 16:45:17+00:00,update_time_home,2020-11-16T13:33:28.245GMT-03:00,POINT (-58.4384539 -34.5943669),-58.4384539,-34.5943669,0.09968909999999909,0.11119010000000173,2020-11-19,3
-58.477365265887265,-34.508773670475186,2020-09-19 10:00:00+00:00,2020-09-19 11:00:00+00:00,update_time_home,2020-09-18T13:04:01.383GMT-03:00,POINT (-58.47736526588726 -34.50877367047519),-58.477365265887265,-34.508773670475186,0.06077773411273313,0.1967833295248127,2020-09-19,5
-58.37089945000001,-34.59989375,2021-02-01 22:14:09.349000+00:00,2021-02-01 23:14:09.349000+00:00,google,2021-02-01T19:14:37.677-03:00,POINT (-58.37089945000001 -34.59989375),-58.37089945000001,-34.59989375,0.1672435499999878,0.10566324999999921,2021-02-01,0
-58.37871339172125,-34.59886798334774,2021-02-22 10:41:30.213000+00:00,2021-02-22 11:41:30.213000+00:00,searchInThisArea,2021-02-22T07:42:06.052-03:00,POINT (-58.37871339172125 -34.59886798334774),-58.37871339172125,-34.59886798334774,0.1594296082787494,0.10668901665226116,2021-02-22,0
-58.39037094265223,-34.603611145983876,2020-11-19 08:45:00+00:00,2020-11-19 09:00:00+00:00,update_time_home,2020-11-19T09:11:57.400GMT-03:00,POINT (-58.39037094265223 -34.60361114598388),-58.39037094265223,-34.603611145983876,0.14777205734776544,0.10194585401612244,2020-11-19,3
-58.5650869,-34.6069433,2020-11-11 18:45:12.567000+00:00,2020-11-11 19:45:12.567000+00:00,google,2020-11-11T21:41:49.288GMT-03:00,POINT (-58.5650869 -34.6069433),-58.5650869,-34.6069433,-0.026943899999999132,0.09861370000000136,2020-11-11,2
-58.38048364967108,-34.607924658083675,2021-02-03 03:21:50.821000+00:00,2021-02-03 04:21:50.821000+00:00,searchInThisArea,2021-02-03T00:22:19.658-03:00,POINT (-58.38048364967108 -34.60792465808368),-58.38048364967108,-34.607924658083675,0.1576593503289203,0.09763234191632364,2021-02-03,2
-58.3858772,-34.6036933,2021-01-31 17:15:00+00:00,2021-01-31 17:30:00+00:00,update_time_home,2021-01-31T17:42:02.964GMT-03:00,POINT (-58.3858772 -34.6036933),-58.3858772,-34.6036933,0.152265799999995,0.10186369999999556,2021-01-31,6
-58.429657399999996,-34.5992842,2021-02-08 12:15:38.532000+00:00,2021-02-08 13:15:38.532000+00:00,google,2021-02-08T15:24:32.245GMT-03:00,POINT (-58.4296574 -34.5992842),-58.429657399999996,-34.5992842,0.10848560000000163,0.10627279999999928,2021-02-08,0
-58.3844829,-34.5950109,2020-09-29 07:00:07.105000+00:00,2020-09-29 08:00:07.105000+00:00,google,2020-09-29T09:57:28.059GMT-03:00,POINT (-58.3844829 -34.5950109),-58.3844829,-34.5950109,0.1536600999999962,0.11054610000000054,2020-09-29,1
-58.450664599999996,-34.6243051,2021-01-25 19:35:04.603000+00:00,2021-01-25 20:35:04.603000+00:00,google,2021-01-25T16:36:02.590-03:00,POINT (-58.4506646 -34.6243051),-58.450664599999996,-34.6243051,0.08747840000000195,0.08125189999999805,2021-01-25,0
-58.05259394253189,-35.1238565213695,2020-12-21 07:00:00+00:00,2020-12-21 07:30:44.710000+00:00,update_time_home,2020-12-21T09:17:02.135GMT-03:00,POINT (-58.05259394253189 -35.1238565213695),-58.05259394253189,-35.1238565213695,0.4855490574681056,-0.418299521369498,2020-12-21,0
-58.4265317,-34.5780655,2021-01-10 17:15:13.837000+00:00,2021-01-10 18:15:13.837000+00:00,google,2021-01-10T20:09:11.294GMT-03:00,POINT (-58.4265317 -34.5780655),-58.4265317,-34.5780655,0.11161129999999986,0.12749149999999787,2021-01-10,6
-58.37089945000001,-34.59989375,2021-02-02 22:22:35.439000+00:00,2021-02-02 23:22:35.439000+00:00,google,2021-02-02T19:22:44.773-03:00,POINT (-58.37089945000001 -34.59989375),-58.37089945000001,-34.59989375,0.1672435499999878,0.10566324999999921,2021-02-02,1
-58.4865878,-34.553156,2020-12-01 18:15:09.618000+00:00,2020-12-01 19:15:09.618000+00:00,google,2020-12-01T21:12:09.949GMT-03:00,POINT (-58.4865878 -34.553156),-58.4865878,-34.553156,0.05155519999999569,0.15240099999999757,2020-12-01,1
-58.544180542230606,-34.80957953317965,2021-01-26 06:45:07.101000+00:00,2021-01-26 07:45:07.101000+00:00,this_area,2021-01-26T09:33:07.384GMT-03:00,POINT (-58.54418054223061 -34.80957953317965),-58.544180542230606,-34.80957953317965,-0.0060375422306080395,-0.10402253317965204,2021-01-26,1
-58.454841524362564,-34.56578774827448,2021-02-23 18:25:31.978000+00:00,2021-02-23 19:25:31.978000+00:00,searchInThisArea,2021-02-23T15:26:18.165-03:00,POINT (-58.45484152436256 -34.56578774827448),-58.454841524362564,-34.56578774827448,0.08330147563743395,0.13976925172551802,2021-02-23,1
-58.4765694,-34.6331347,2021-01-30 19:32:38.476000+00:00,2021-01-30 20:32:38.476000+00:00,google,2021-01-30T16:32:56.572-03:00,POINT (-58.4765694 -34.6331347),-58.4765694,-34.6331347,0.061573599999995565,0.0724222999999995,2021-01-30,5
-58.37651450000001,-34.5998645,2021-01-05 13:15:14.252000+00:00,2021-01-05 14:15:14.252000+00:00,google,2021-01-05T16:18:46.342GMT-03:00,POINT (-58.37651450000001 -34.5998645),-58.37651450000001,-34.5998645,0.16162849999998485,0.10569249999999641,2021-01-05,1
-58.47733984317694,-34.508801516055144,2020-11-11 16:30:00+00:00,2020-11-11 16:45:31.711000+00:00,update_time_home,2020-11-11T18:34:02.625GMT-03:00,POINT (-58.47733984317694 -34.50880151605514),-58.47733984317694,-34.508801516055144,0.060803156823055815,0.19675548394485531,2020-11-11,2
